Id,Speed,RPM,Engine Load,gear_labels
135473,19,1409,0,3rd gear
135472,19,1334,21,2nd gear
135471,19,1280,4,2nd gear
135470,13,875,17,1st gear
135500,13,1168,75,2nd gear
135499,27,1836,3,4th gear
135498,24,1570,0,3rd gear
135497,21,1457,45,3rd gear
135496,20,1278,0,2nd gear
142123,19,1418,27,3rd gear
142122,25,1781,34,4th gear
142121,29,2122,54,5th gear
142212,34,1582,40,3rd gear
142211,31,1408,0,3rd gear
142210,28,1294,43,2nd gear
135552,32,1462,32,3rd gear
135551,39,1753,62,4th gear
135550,37,1663,0,3rd gear
135549,32,1415,27,3rd gear
135587,31,1403,1,3rd gear
135586,29,1278,5,2nd gear
135585,24,1092,0,2nd gear
135584,14,939,18,1st gear
135583,21,1496,38,3rd gear
135617,20,1438,14,3rd gear
135616,24,1686,14,4th gear
135615,24,1682,24,4th gear
135614,29,2013,28,4th gear
135613,23,1602,0,3rd gear
135640,23,1609,4,3rd gear
135639,18,1281,0,2nd gear
135638,15,1045,39,1st gear
135637,14,1002,12,1st gear
135636,12,881,42,1st gear
135680,14,959,72,1st gear
135679,16,1154,45,2nd gear
135678,23,1636,48,3rd gear
135677,25,1753,11,4th gear
135676,21,1463,2,3rd gear
142209,20,1371,12,2nd gear
135743,20,1371,12,2nd gear
135742,16,1122,12,2nd gear
142208,16,1122,12,2nd gear
142305,25,1776,54,4th gear
135741,25,1776,54,4th gear
142304,35,2420,41,5th gear
135740,35,2420,41,5th gear
142303,38,1716,49,4th gear
135739,38,1716,49,4th gear
142302,37,1637,1,3rd gear
142301,27,1200,0,2nd gear
142437,26,1182,7,2nd gear
142436,24,991,12,1st gear
142435,22,1022,12,1st gear
142434,26,1170,58,2nd gear
135795,27,1196,46,2nd gear
135794,28,1271,46,2nd gear
135793,26,1199,5,2nd gear
135792,29,0,60,reverse gear
135791,36,1536,55,3rd gear
135834,30,1536,0,3rd gear
135833,27,64,6,reverse gear
135832,27,1233,39,2nd gear
135831,28,1287,61,2nd gear
135867,32,1443,30,3rd gear
135866,31,1423,37,3rd gear
135865,32,1454,44,3rd gear
135864,32,1459,27,3rd gear
135863,30,1319,52,2nd gear
135914,33,1514,46,3rd gear
135913,34,1544,38,3rd gear
135912,36,1602,38,3rd gear
135911,31,1468,28,3rd gear
135910,35,1597,41,3rd gear
135941,39,1751,49,4th gear
135940,41,1835,36,4th gear
135939,43,1941,47,4th gear
